final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
73,content_ab82c4705992,client_7f2253d7e2,78.01616195463997,random_forest,0.8419968228222302,0.6013803325555556,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,12315,80,92,20.6,0.65,147,20,4460.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
74,content_1d533efd8c4d,client_7f2253d7e2,78.00915991685974,random_forest,0.8163089963156406,0.6570987525011338,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,18117,139,139,12.7,0.77,147,20,4301.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
75,content_4bcb30ab7531,client_7f2253d7e2,77.9796152086793,random_forest,0.811869942722157,0.6658458958367347,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,25485,133,133,13.8,0.52,147,20,4098.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
76,content_433fc1c77095,client_3fdba35f04,77.96542160351467,random_forest,0.7797023110126754,0.7354506295068026,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3177,4,12,5.0,0.13,139,104,1836.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
77,content_7f12daa9fcef,client_7f2253d7e2,77.96302470798982,random_forest,0.8382747962177839,0.607832212329932,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,13279,54,59,20.1,0.41,132,20,4377.0,down,LOW,keyword article,commercial,91-180,0-30,3500+,good,page_3_5
78,content_792d2e64b2e3,client_7f2253d7e2,77.95709182244079,random_forest,0.8301944001570615,0.6252430293367347,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,22080,4,4,21.6,0.02,141,20,3743.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
79,content_18d83d6ef368,client_7f2253d7e2,77.90841051066295,random_forest,0.7493839208769957,0.799696614622449,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8864,20,25,20.0,0.23,106,106,2546.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,good,page_3_5
80,content_9b28cf5ae4f3,client_f369cb89fc,77.8912190236097,random_forest,0.7879224843142757,0.7152426124297051,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1620,1,6,1.1,0.06,106,106,2869.0,down,LOW,keyword article,transactional,91-180,91-180,2000-3500,moderate,top_3
81,content_18c6a9f656f5,client_7f2253d7e2,77.88319600667103,random_forest,0.8172224313152411,0.6511912653582766,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,13870,69,66,11.7,0.5,224,20,3876.0,down,LOW,keyword article,commercial,181-365,0-30,3500+,good,striking
82,content_c1f7f47a401b,client_19581e27de,77.87987709392392,random_forest,0.7762369962727104,0.7403353939625851,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2731,1,2,2.2,0.04,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,moderate,top_3
83,content_95c47359824d,client_7f2253d7e2,77.86660065494856,random_forest,0.8425483853118174,0.5955267763962585,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,28190,85,96,28.5,0.3,141,20,4563.0,down,LOW,keyword article,commercial,91-180,0-30,3500+,good,page_3_5
84,content_e0632fafadc8,client_7f2253d7e2,77.8603139939747,random_forest,0.838629171423656,0.6038654529047619,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,17565,20,23,24.0,0.11,141,20,3870.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
85,content_44c47f990ae1,client_3fdba35f04,77.84860901003651,random_forest,0.8053196367262838,0.6760341398344671,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2563,5,53,16.1,0.2,165,104,1472.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
86,content_2d14b344651b,client_3fdba35f04,77.81967939326813,random_forest,0.760401648279328,0.7729448658001701,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,4774,9,21,5.4,0.19,144,104,1539.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
87,content_b005f46f2e4c,client_3fdba35f04,77.79393534430871,random_forest,0.8481588047435317,0.5810494203622448,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,673,1,45,2.7,0.15,165,104,1392.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,top_3
